accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.5029610991477966,0.5051290988922119,0.7050469517707825,0.4796610176563263,0.4811696410179138,0.7333827614784241
0.5283417701721191,0.5402812957763672,0.6930480003356934,0.4796610176563263,0.46036529541015625,0.7284319400787354
0.5423011779785156,0.5615652799606323,0.6870426535606384,0.4796610176563263,0.4911085367202759,0.73997962474823
0.5587986707687378,0.5756617784500122,0.6844453811645508,0.4796610176563263,0.48153793811798096,0.730615496635437
0.5604906678199768,0.5851541757583618,0.6803445816040039,0.4796610176563263,0.4714552164077759,0.7374758124351501
0.567258894443512,0.5898725986480713,0.6793776154518127,0.4796610176563263,0.48726993799209595,0.7225095629692078
0.5706430077552795,0.596560537815094,0.6764655709266663,0.4796610176563263,0.5139040946960449,0.7189825773239136
0.5824872851371765,0.6118155717849731,0.6717855334281921,0.4830508530139923,0.49132147431373596,0.727247953414917
0.5930625796318054,0.6254114508628845,0.6658850908279419,0.4847457706928253,0.4769742488861084,0.7393078207969666
0.5934855937957764,0.6369980573654175,0.6606141924858093,0.4813559353351593,0.47947192192077637,0.7381281852722168
0.6082910299301147,0.6468126773834229,0.6576439738273621,0.48813560605049133,0.4843176007270813,0.7349355816841125
0.6192893385887146,0.6621382832527161,0.6498479843139648,0.4847457706928253,0.4873735308647156,0.7370063662528992
0.6175972819328308,0.6671380400657654,0.6467317342758179,0.494915246963501,0.477509468793869,0.7321944236755371
0.6302876472473145,0.680982232093811,0.6389516592025757,0.4847457706928253,0.5007653832435608,0.7294575572013855
0.6205583810806274,0.6828159093856812,0.6371923089027405,0.4864406883716583,0.48950859904289246,0.7304520010948181
0.6484771370887756,0.703391432762146,0.6263933181762695,0.4864406883716583,0.504903256893158,0.7269520163536072
0.6497461795806885,0.7166053056716919,0.6181623339653015,0.48983049392700195,0.5025724768638611,0.7242684960365295
