accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.48730963468551636,0.4864639639854431,2.8870108127593994,0.49322032928466797,0.5096396207809448,2.4220566749572754
0.5397630929946899,0.554940402507782,2.27022385597229,0.48983049392700195,0.5260931253433228,2.0456466674804688
0.5545685291290283,0.569942831993103,1.8874903917312622,0.47457626461982727,0.4844096899032593,1.7672555446624756
0.5689509510993958,0.604084849357605,1.5876686573028564,0.4779660999774933,0.5030040740966797,1.5492706298828125
0.5757191181182861,0.6085488796234131,1.3882991075515747,0.4864406883716583,0.4959542155265808,1.3653708696365356
0.5791032314300537,0.6120638847351074,1.2402527332305908,0.4830508530139923,0.539122462272644,1.277358055114746
0.5875634551048279,0.6250126361846924,1.1256470680236816,0.4830508530139923,0.508137583732605,1.1849167346954346
0.596023678779602,0.6318866014480591,1.043290615081787,0.48813560605049133,0.533004879951477,1.1135594844818115
0.5888324975967407,0.6184511780738831,0.983672022819519,0.4847457706928253,0.5117459297180176,1.0847914218902588
0.6006768345832825,0.6368263959884644,0.9259034395217896,0.49322032928466797,0.4888468384742737,0.9809034466743469
0.5956006646156311,0.6349127888679504,0.8856804370880127,0.4847457706928253,0.5012315511703491,0.9259040355682373
