feature,importance
QQQ_Volume,0.038191439944748655
SPY_Volume,0.02442744893354418
VIX_Adj_Close,0.021436331857276017
VIX_Close,0.021336246491493252
SMH_Volume,0.014575088891088597
VIX_High,0.014016137645211658
VIX_Open,0.013569010988235377
AMD_Volume,0.011199162815652329
QQQ_ret_5d,0.011164301472233946
SOXX_Volume,0.010836564487958153
SPY_ret_5d,0.010455772206323532
AMAT_volchg_5d,0.009068051985397214
AMD_ret_5d,0.008803714952671697
QCOM_Volume,0.008700808174911987
VIX_ret_20d,0.008651250488191256
target_Volume,0.008590055987568788
VIX_Low,0.008161305453092139
SMH_ret_5d,0.008046616819985156
KLAC_Volume,0.007886831900231846
target_ret_1d,0.007860250089761532
SOXX_ret_5d,0.007570109276651984
AVGO_ret_20d,0.007498000919045739
AMD_ret_20d,0.007487486077600148
NVDA_ret_5d,0.006979625626038017
KOSPI_Volume,0.006753656998629497
VIX_ret_5d,0.006719668459507343
LRCX_ret_5d,0.006707121455172928
INTC_ret_5d,0.006640431487993332
SPY_ret_1d,0.006494498054824305
US_10Y_ret_5d,0.006394873953059845
SMH_ret_1d,0.006144002816907835
QQQ_ret_20d,0.006110535022802831
QCOM_ret_1d,0.006075771968147059
KLAC_ret_1d,0.006065347725287327
INTC_volchg_5d,0.006018148177741801
USD_JPY_ret_1d,0.005945125412731546
KOSDAQ_Adj_Close,0.005943593365056584
AMAT_vol_20d,0.005892786390713981
QQQ_ret_1d,0.005833765342940394
NVDA_volchg_5d,0.005831785249815238
MU_Volume,0.005828846692963607
KOSDAQ_Close,0.005778194415692728
USD_KRW_ret_1d,0.005749136626303771
LRCX_ret_20d,0.005696979740269123
KOSDAQ_Low,0.00557910347987256
DOLLAR_INDEX_ret_1d,0.005543907946230024
LRCX_volchg_5d,0.005506921391102239
QCOM_ret_5d,0.005481353139265018
USD_JPY_Open,0.005439042054100236
KOSDAQ_High,0.0054360205586432946
NVDA_Volume,0.005391557294219093
QQQ_vol_20d,0.005371896168499281
KLAC_volchg_5d,0.005326756424369702
SOXX_ret_1d,0.005325258784532748
VIX_vol_20d,0.00532490944046293
USD_JPY_Adj_Close,0.005323996586588747
VIX_ret_1d,0.005250715872863269
SPY_volchg_5d,0.005203653045293425
USD_JPY_vol_20d,0.005157849150579745
SPY_vol_20d,0.005146137905123831
QCOM_volchg_5d,0.005144933581697164
NVDA_ret_1d,0.005125322682635472
DOLLAR_INDEX_ret_5d,0.005125141740505095
SMH_ret_20d,0.005124203659572089
QQQ_volchg_5d,0.005107977543800174
US_10Y_vol_20d,0.005101712751532312
AVGO_Volume,0.005072046786501168
LRCX_vol_20d,0.005062043505700989
MU_vol_20d,0.005055777097001784
US_10Y_ret_1d,0.005048745624156036
SPY_ret_20d,0.004998739991210573
LRCX_Volume,0.00494200079879428
INTC_ret_1d,0.004919835800335126
KOSDAQ_Open,0.0048908283355057
USD_KRW_High,0.004856652846686524
AMAT_ret_1d,0.004855097523000973
DOLLAR_INDEX_vol_20d,0.004816499069302331
QCOM_vol_20d,0.004791544641918272
AMAT_ret_5d,0.004750501106648086
target_ret_5d,0.0047502422621674995
AMD_volchg_5d,0.004741090810980412
USD_KRW_vol_20d,0.004710475523740372
AMAT_Volume,0.004709183577719976
MU_ret_5d,0.0046844490844682694
USD_JPY_Low,0.004669952683232642
NVDA_vol_20d,0.004666478853638447
SMH_volchg_5d,0.004652014241794071
MU_ret_20d,0.004601885598010473
MU_volchg_5d,0.004597517466557499
AMD_vol_20d,0.0045921733982454615
SOXX_volchg_5d,0.004528299286087972
INTC_vol_20d,0.004482567906390498
USD_KRW_ret_5d,0.004431897352272402
DOLLAR_INDEX_Adj_Close,0.004428001562590994
AVGO_volchg_5d,0.0044178343639512865
SOXX_ret_20d,0.004353964160989128
USD_KRW_Open,0.004353220754095317
INTC_ret_20d,0.004349166927613991
AMAT_ret_20d,0.004319481786446107
AVGO_ret_5d,0.004314534033094269
AVGO_vol_20d,0.004289299816844176
KLAC_ret_5d,0.004224435027817579
USD_KRW_ret_20d,0.004204029162595542
NVDA_ret_20d,0.004202869834606691
KOSPI_Adj_Close,0.00418551128093519
USD_JPY_Close,0.00417863179877717
DOLLAR_INDEX_High,0.004122401470215884
AMD_Low,0.004068717574934776
USD_KRW_Low,0.00406395889924017
KOSPI_High,0.004053853063401967
KLAC_ret_20d,0.004039724839750955
target_volchg_5d,0.004037726942806681
KOSPI_Low,0.003995216473423323
US_10Y_ret_20d,0.0039905142846361095
LRCX_ret_1d,0.003977017710645844
MU_ret_1d,0.003956179170387966
USD_KRW_Close,0.003945945620439885
AVGO_ret_1d,0.0038629277383986447
DOLLAR_INDEX_Open,0.0038542423389308095
AMD_ret_1d,0.00383678469454788
DOLLAR_INDEX_Close,0.0038055070201139605
AMD_Open,0.0037189867022170823
KLAC_vol_20d,0.0036805594453249743
SOXX_vol_20d,0.003666934141754097
INTC_Open,0.0036587277976419764
KOSPI_Close,0.0036483926316622666
USD_JPY_ret_5d,0.003616777996313723
target_ret_20d,0.003590135015092078
USD_KRW_Adj_Close,0.0035832421438385343
SMH_vol_20d,0.003576896697723934
KOSPI_Open,0.0035335499321725162
DOLLAR_INDEX_Low,0.0035048033154383208
US_10Y_Adj_Close,0.0033453396369896022
QCOM_ret_20d,0.00333965386886395
USD_JPY_ret_20d,0.0033247822837018694
INTC_Adj_Close,0.003301514409044138
AVGO_Close,0.0032572123722556068
QCOM_Open,0.003201147936065475
AMD_Adj_Close,0.0032003482966211933
QQQ_Open,0.0031985138551989816
NVDA_Close,0.003195318645283166
INTC_Volume,0.0031824942966555063
AMD_Close,0.003136278895725645
QCOM_Close,0.0030788544429225947
US_10Y_Open,0.0030509865282025554
DOLLAR_INDEX_ret_20d,0.0030414390846303886
AMD_High,0.0029725202679548326
target_vol_20d,0.002958665906730665
SPY_Open,0.002951917590573835
QCOM_Adj_Close,0.0029321218535854248
NVDA_Open,0.002929847131266662
target_prev_close,0.002923433915958946
KLAC_Close,0.0029024414519593367
AMAT_Close,0.002890232332532467
US_10Y_Low,0.002849869109819297
AVGO_Open,0.002831003547658319
AVGO_Low,0.002818012064718215
NVDA_Adj_Close,0.002746561608392072
MU_Adj_Close,0.0027176985971796405
US_10Y_Close,0.0026618786379743946
USD_JPY_High,0.0026419927984546597
MU_Open,0.002609850253623463
INTC_Close,0.0025686038048161343
QCOM_Low,0.0025076788871339737
INTC_Low,0.0024919767014213302
AVGO_High,0.002469132375428065
LRCX_Adj_Close,0.0024148515378676406
AVGO_Adj_Close,0.0024017892596924916
INTC_High,0.002397965991117951
SPY_High,0.002384295655022301
SPY_Low,0.0023602728436079175
SOXX_Adj_Close,0.002359264431029133
KOSDAQ_Volume,0.002333215771434849
LRCX_Low,0.0022514417318405633
LRCX_Close,0.0022495396431241317
QCOM_High,0.002248903900473324
QQQ_High,0.002232285452342478
SMH_Open,0.0022244925085579763
SMH_Close,0.002181776565337003
MU_High,0.002177659450869803
SOXX_Open,0.002163406281384761
AMAT_Low,0.0021537509786605084
KLAC_Adj_Close,0.0021533981583191928
AMAT_Open,0.0020343250434963324
SMH_Adj_Close,0.0020297934767973176
SPY_Close,0.0020131509129366963
LRCX_High,0.0020059045619712323
SOXX_Close,0.0019853491859800126
MU_Close,0.001966888691437567
US_10Y_High,0.0019518928453627128
QQQ_Low,0.0019423573967869586
NVDA_Low,0.001914361598194542
KLAC_Low,0.0018952871565539769
QQQ_Adj_Close,0.001893938551405607
LRCX_Open,0.0018338866756507832
SPY_Adj_Close,0.0018162771249501692
MU_Low,0.0018056996756835
AMAT_High,0.0017818799045697608
KLAC_High,0.0016879806365595388
KLAC_Open,0.0016550163436901775
SOXX_Low,0.0016099168986502103
NVDA_High,0.0015331697881567174
SMH_Low,0.001411275524014424
QQQ_Close,0.0013367389402808275
AMAT_Adj_Close,0.0012591970666885222
SMH_High,0.001016022668685206
SOXX_High,0.0009385563950304335
USD_JPY_Volume,0.0
US_10Y_Volume,0.0
USD_KRW_Volume,0.0
DOLLAR_INDEX_Volume,0.0
VIX_Volume,0.0
